Category	Occupation	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali-HF	Bengali-HP	Bengali-TF	Bengali-TP	Bengali-EF	Bengali-EP	Japanese	Turkish	Yoruba	Basque	Swahili	Chinese
Business and financial operations occupations	Job analysis specialist	Male	Male	Female	Female	Male	?	Neutral	?	Male	Female	Female	Male	?	Neutral	?	Male	?
Business and financial operations occupations	Loan officer	Male	Male	Male	?	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	Male
Business and financial operations occupations	Logistician	Male	Male	Male	Male	?	?	Neutral	Male	Male	Male	Male	Neutral	?	Male	Neutral	Male	?
Business and financial operations occupations	Management analyst	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Business and financial operations occupations	Manager	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	?	?	Male	?
Business and financial operations occupations	Market research analyst	Male	Male	Male	Male	?	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Female	?
Business and financial operations occupations	Marketing specialist	Male	Male	Male	Male	Male	?	?	Male	?	?	?	?	?
Business and financial operations occupations	Meeting planner	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Female	?
Business and financial operations occupations	Personal financial advisor	Male	Female	Male	Female	Male	Male	Neutral	Male	Male	Male	Male	?	?	Neutral	?	Male	?
Business and financial operations occupations	Purchasing agent	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Business and financial operations occupations	Real estate Appraiser	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Business and financial operations occupations	Real estate assessor	Male	Male	Male	Male	Male	?	Neutral	?	Male	?	Neutral	Neutral	Male	?
Business and financial operations occupations	Retail buyer	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Female	?
Business and financial operations occupations	Revenue agent	Male	Male	Male	Male	?	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Business and financial operations occupations	Tax collector	Male	?	Male	Male	?	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Business and financial operations occupations	Tax examiner	Male	Female	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Male	?	?	?
Business and financial operations occupations	Tax preparer	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	?	?	Neutral	?	Male	?
Business and financial operations occupations	Training specialist	Male	?	Female	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Business and financial operations occupations	Wholesale buyer	Male	Female	Female	Male	Male	Male	Neutral	Male	Male	?	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Account collector	Male	Male	Male	Male	?	Male	Neutral	Male	Male	Female	Male	?	?	Neutral	Male	Male	?
Office and administrative support occupations	Accounting clerk	Male	Female	Male	Male	Male	?	Male	Male	Male	Male	Male	Neutral	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Administrative assistant	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Administrative support worker	Male	Male	Male	Female	Male	?	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Auditing clerk	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Bill collector	Male	Male	Male	Male	Male	Male	Male	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Billing clerk	Female	Male	Female	Male	Male	?	Male	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Bookkeeping clerk	Male	Female	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Female	?
Office and administrative support occupations	Brokerage clerk	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Cargo agent	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Clerical library assistant	Male	Female	Female	Female	Female	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Communications equipment operator	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Computer operator	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Copy marker	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Correspondence clerk	Female	Male	Male	Female	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Courier	Male	Female	Male	Female	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Court clerk	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Credit authorizer	Male	Male	Male	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Credit checker	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Credit clerk	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Customer service representative	Male	Male	Male	Male	Male	?	Neutral	?	Male	Female	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Data entry keyer	Male	Male	Female	Female	Neutral	Male	Neutral	?	Male	Male	Male	?	?	Neutral	?	Male	?
Office and administrative support occupations	Desktop publisher	Male	Male	Female	Female	?	?	Neutral	Male	Male	Female	Male	Male	?	?	?	Male	Male
Office and administrative support occupations	Dispatcher	Male	Male	Male	Male	?	?	Neutral	Male	Male	Female	Male	Neutral	?	?	?	Male	?
Office and administrative support occupations	Eligibility interviewer	Male	Male	Male	Female	?	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	Male
Office and administrative support occupations	Expediting clerk	Male	Female	Male	Male	Female	?	Neutral	Male	Male	?	Male	?	?	Neutral	?	Male	Male
Office and administrative support occupations	File clerk	Male	Male	Male	Male	?	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Financial clerk	Male	Female	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	First-line supervisor of administrative support workers	Male	Male	Male	Female	?	?	Neutral	Male	Male	?	Male	Neutral	?	?	?	Male	?
Office and administrative support occupations	First-line supervisor of office support workers	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	?	?	Male	?
Office and administrative support occupations	Freight agent	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Gaming cage worker	Male	Male	Male	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Hotel desk clerk	Male	Male	Female	Female	Male	?	Neutral	Male	Male	?	Male	Male	?	?	?	Male	?
Office and administrative support occupations	Human resources assistant	Male	Female	Female	Female	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Information clerk	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	?	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Information clerk	Male	Male	Male	Female	?	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Insurance claims clerk	Male	Male	Female	Male	Male	?	?	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Interviewer	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Female	Male	?	?	Neutral	?	Female	?
Office and administrative support occupations	License clerk	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	?	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Loan clerk	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Loan interviewer	Male	Female	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Mail clerk	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Mail machine operator	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Messenger	Male	Female	Male	Female	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	Female	Male	?
Office and administrative support occupations	Meter reader	Male	Male	Male	Male	?	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Female	?
Office and administrative support occupations	Motel desk clerk	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Municipal clerk	Male	Male	Male	Male	Male	Male	Neutral	?	Male	Female	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	New accounts clerk	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	Male
Office and administrative support occupations	Office clerk	Male	Female	Female	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Office machine operator	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Office support worker	Male	Female	Male	Female	Female	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Order clerk	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Order filler	Male	Male	Female	Female	?	Male	Neutral	Male	Male	Female	Male	?	?	Neutral	?	Male	?
Office and administrative support occupations	Payroll clerk	Male	Male	Male	Male	Female	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Planning clerk	Male	Male	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Policy processing clerk	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Postal service clerk	Male	Female	Female	Male	?	?	Neutral	?	Male	Male	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Postal service mail carrier	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Postal service mail processing machine operator	Male	Male	Male	Male	Male	?	Neutral	?	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Postal service mail processor	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Postal service mail sorter	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Posting clerk	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	Neutral	Male	Male
Office and administrative support occupations	Procurement clerk	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Production clerk	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Proofreader	Male	Male	Male	Male	Male	Male	Male	Male	Male	Male	Male	Neutral	?	Male	?	Male	?
Office and administrative support occupations	Receiving clerk	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Receptionist	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Record clerk	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Recordkeeping checker	Male	Male	Female	Male	Male	?	Male	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Recordkeeping measurer	Male	Male	Female	Male	Male	Male	Male	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Recordkeeping samplers	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Female	?
Office and administrative support occupations	Recordkeeping weigher	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Female	?
Office and administrative support occupations	Reservation ticket agent	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Resort desk clerk	Male	Female	Male	Female	Male	Male	Neutral	Male	Male	Male	Male	?	?	Neutral	?	Male	?
Office and administrative support occupations	Secretary	Female	Male	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	Male	Neutral	?	Male	?
Office and administrative support occupations	Shipping clerk	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Statistical assistant	Male	Female	Male	Female	Male	?	Neutral	Male	Male	Male	Male	?	?	?	?	Male	Male
Office and administrative support occupations	Stock clerk	Male	Male	Female	Female	?	Male	Neutral	Male	Male	Female	Male	?	?	Neutral	?	Male	?
Office and administrative support occupations	Switchboard operator	Male	Male	Male	Female	?	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Telephone operator	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	?	?	Male	Male
Office and administrative support occupations	Teller	Male	Female	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	?	?	Male	?
Office and administrative support occupations	Timekeeping clerk	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Traffic clerk	Male	Male	Female	Female	Male	Male	Male	Male	Male	Female	Male	Male	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Transportation ticket agent	Male	Male	Male	Male	Male	?	Neutral	Male	Male	?	Male	Male	?	Neutral	?	Male	?
Office and administrative support occupations	Travel clerk	Male	Male	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Office and administrative support occupations	Typist	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	Neutral	Male	?
Office and administrative support occupations	Word processor	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Female	?
Healthcare support occupations	Dental assistant	Female	Female	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Female	?
Healthcare support occupations	Home health aide	Male	Female	Female	Female	Female	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare support occupations	Laboratory animal caretaker	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare support occupations	Massage therapist	Male	Female	Male	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare support occupations	Medical assistant	Male	Female	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare support occupations	Medical equipment preparer	Male	Male	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare support occupations	Medical transcriptionist	Male	Male	Female	Female	Male	?	Male	Male	Male	Female	Male	Neutral	?	Male	?	Male	?
Healthcare support occupations	Nursing aide	Female	Female	Female	Female	Female	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	Male	Male	?
Healthcare support occupations	Occupational therapy aide	Female	Male	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare support occupations	Occupational therapy assistant	Female	Male	Female	Female	Female	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare support occupations	Pharmacy aide	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare support occupations	Phlebotomist	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	Male	Neutral	?	Female	?
Healthcare support occupations	Physical therapist aide	Male	Male	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare support occupations	Physical therapist assistant	Male	Female	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Healthcare support occupations	Psychiatric aide	Female	Female	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Healthcare support occupations	Veterinary assistant	Male	Female	Female	Female	Male	?	Male	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Management occupations	Administrative services manager	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Management occupations	Advertising manager	Male	Male	Female	Female	Female	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Management occupations	Agricultural manager	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Female	?
Management occupations	Architectural manager	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Male	?	Male	?
Management occupations	Benefits manager	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Male	?	Female	?
Management occupations	Chief executive	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Female	?
Management occupations	Community association manager	Male	Male	Female	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Management occupations	Community service manager	Male	Male	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Management occupations	Compensation manager	Male	Male	Male	Female	Male	Male	Male	Male	Male	Female	Male	Neutral	?	Male	?	Male	?
Management occupations	Computer systems manager	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Management occupations	Construction manager	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Male	?	Male	?	Male	Male
Management occupations	Development manager	Male	Male	Male	Male	?	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Management occupations	Distribution manager	Male	Male	Female	Female	Female	Male	Neutral	Male	Male	Male	Male	Neutral	?	Male	?	Male	?
Management occupations	Education administrator	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	Neutral	Male	?
Management occupations	Emergency management director	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Management occupations	Engineering manager	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	Male	Male	?
Management occupations	Farmer	Male	Male	Female	Female	?	Male	Neutral	Male	Male	Female	Male	Neutral	Male	Neutral	?	Female	?
Management occupations	Financial manager	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Male	?	Male	Male
Management occupations	Food service manager	Male	Male	Female	Female	?	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Management occupations	Fundraising manager	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Male	Male	?	?	Neutral	?	Male	?
Management occupations	Funeral service manager	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Management occupations	Gaming manager	Male	Male	Male	Male	?	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Management occupations	General manager	Male	Male	Male	Male	?	Male	Neutral	Male	Male	Male	Male	Male	?	?	?	Male	?
Management occupations	Health services managers	Male	Male	Female	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Management occupations	Human resources manager	Male	Male	Female	Male	Male	?	Neutral	Male	Male	?	Male	Male	?	Male	?	Male	?
Management occupations	Industrial production manager	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	Male
Management occupations	Information systems manager	Male	Male	Female	Female	?	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
